Site,Year,NF_Prop,F_Prop
Cannery Row,2022,0.089552239,0.432835821
Cannery Row,2022,0.263157895,0.640350877
Cannery Row,2022,0.214285714,0.553571429
Cannery Row,2022,0.106796117,0.184466019
Cannery Row,2022,0.2,0.304347826
Cannery Row,2022,0.676767677,0.242424242
Cannery Row,2022,0.194174757,0.300970874
Cannery Row,2022,0.263636364,0.418181818
Cannery Row,2022,0.3,0.2
Cannery Row,2022,0.154471545,0.341463415
Cannery Row,2022,0.53271028,0.317757009
Cannery Row,2022,0.267326733,0.584158416
Cannery Row,2022,0.655555556,0.3
Cannery Row,2022,0.13,0.14
Cannery Row,2022,0.239130435,0.02173913
Cannery Row,2022,0.198113208,0.367924528
Cannery Row,2022,0.298969072,0.288659794
Cannery Row,2022,0.154545455,0.345454546
Cannery Row,2022,0.063157895,0.6
Cannery Row,2022,0.28125,0.25
Cannery Row,2022,0.106796117,0.009708738
Cannery Row,2022,0.212962963,0.25
Cannery Row,2022,0.265306122,0.357142857
Cannery Row,2022,0.616161616,0.04040404
Cannery Row,2022,0.279569893,0.161290323
Cannery Row,2022,0.190909091,0.063636364
Cannery Row,2022,0.315789474,0.147368421
Cannery Row,2022,0.435643564,0.168316832
Cannery Row,2022,0.208791209,0.32967033
Carmel Point,2022,0.238095238,0.704761905
Carmel Point,2022,0.173469388,0.775510204
Carmel Point,2022,0.204301075,0.774193548
Carmel Point,2022,0.115044248,0.85840708
Carmel Point,2022,0.515463918,0.391752577
Carmel Point,2022,0.231343284,0.679104478
Carmel Point,2022,0.122093023,0.872093023
Carmel Point,2022,0.223300971,0.699029126
Carmel Point,2022,0.1640625,0.78125
Carmel Point,2022,0.166666667,0.784313726
Carmel Point,2022,0.169354839,0.75
Carmel Point,2022,0.056338028,0.908450704
Carmel Point,2022,0.082474227,0.865979381
Carmel Point,2022,0.092307692,0.9
Carmel Point,2022,0.166666667,0.578431373
Carmel Point,2022,0.320895522,0.664179105
Carmel Point,2022,0.156521739,0.817391304
Carmel Point,2022,0.178571429,0.758928571
Carmel Point,2022,0.330578512,0.628099174
Carmel Point,2022,0.075,0.683333333
Carmel Point,2022,0.258503401,0.659863946
Carmel Point,2022,0.315384615,0.515384615
Carmel Point,2022,0.193103448,0.744827586
Carmel Point,2022,0.122137405,0.816793893
Carmel Point,2022,0.1875,0.763888889
China Rock,2022,0.132075472,0.113207547
China Rock,2022,0.103092784,0.340206186
China Rock,2022,0.266129032,0.346774194
China Rock,2022,0.442748092,0.312977099
China Rock,2022,0.125925926,0.674074074
China Rock,2022,0.053191489,0.680851064
China Rock,2022,0.146551724,0.301724138
China Rock,2022,0.342105263,0.307017544
China Rock,2022,0.421052632,0.285714286
China Rock,2022,0.158415842,0.782178218
China Rock,2022,0.188679245,0.301886793
China Rock,2022,0.29,0.37
China Rock,2022,0.318584071,0.398230089
China Rock,2022,0.342857143,0.466666667
China Rock,2022,0.241071429,0.053571429
China Rock,2022,0.292929293,0.141414141
China Rock,2022,0.080808081,0.555555556
China Rock,2022,0.121212121,0.767676768
China Rock,2022,0.063829787,0.829787234
China Rock,2022,0.088235294,0.676470588
China Rock,2022,0.194690266,0.557522124
China Rock,2022,0.168316832,0.574257426
China Rock,2022,0.073684211,0.778947368
China Rock,2022,0.316901409,0.612676056
China Rock,2022,0.158333333,0.5
China Rock,2022,0.224,0.704
China Rock,2022,0.164383562,0.438356164
China Rock,2022,0.291666667,0.533333333
China Rock,2022,0.13,0.35
Hopkins,2022,0.171717172,0.686868687
Hopkins,2022,0.13,0.53
Hopkins,2022,0.333333333,0.291666667
Hopkins,2022,0.14893617,0.659574468
Hopkins,2022,0.29,0.13
Hopkins,2022,0.36,0.54
Hopkins,2022,0.202020202,0.525252525
Hopkins,2022,0.145833333,0.239583333
Hopkins,2022,0.208333333,0.4375
Hopkins,2022,0.234693878,0.448979592
Hopkins,2022,0.211764706,0.164705882
Hopkins,2022,0.260416667,0.177083333
Hopkins,2022,0.183486239,0.201834862
Hopkins,2022,0.018518519,0.046296296
Hopkins,2022,0.554455446,0.277227723
Hopkins,2022,0.054054054,0.63963964
Hopkins,2022,0.105691057,0.422764228
Hopkins,2022,0.25,0.583333333
Hopkins,2022,0.097345133,0.681415929
Hopkins,2022,0.050847458,0.762711864
Hopkins,2022,0.154639175,0.329896907
Hopkins,2022,0.322580645,0.306451613
Hopkins,2022,0.4,0.363636364
Hopkins,2022,0.231404959,0.165289256
Hopkins,2022,0.07826087,0.104347826
Hopkins,2022,0.263157895,0.570175439
Hopkins,2022,0.156862745,0.656862745
Hopkins,2022,0.178947368,0.705263158
Hopkins,2022,0.239583333,0.385416667
Hopkins,2022,0.260416667,0.583333333
Hopkins,2022,0.176923077,0.638461539
Hopkins,2022,0.257142857,0.447619048
Hopkins,2022,0.17,0.52
Hopkins,2022,0.101010101,0.404040404
Hopkins,2022,0.142857143,0.469387755
Hopkins,2022,0.068627451,0.637254902
Hopkins,2022,0.505376344,0.161290323
Hopkins,2022,0.31147541,0.37704918
Hopkins,2022,0.2,0.684210526
