Date,Site,Transect,Lat_Start,Long_Start,Lat_End,Long_End,Quad,Side,CrNC,CrCor,AC,Fila,Cort,Foliose,Leath,Kelp,SG,BR,Mussel,Anem,Barn,Other,Drift,Investigators,Entered By,Checked By,Notes
250621,John Denver,1,36.5439,-121.93401,,,1,land,15,4,2,0,12,2,22,0,2,29,1,2,2,0,0,,RC,,
250621,John Denver,1,36.5439,-121.93401,,,2,land,10,5,2,1,6,1,13,0,6,35,2,14,1,0,0,,RC,,
250621,John Denver,1,36.5439,-121.93401,,,3,land,6,1,0,0,13,0,3,0,0,45,20,5,4,0,0,,RC,,
250621,John Denver,1,36.5439,-121.93401,,,4,sea,24,2,5,1,4,0,3,0,0,30,11,9,1,0,0,,RC,,
250621,John Denver,1,36.5439,-121.93401,,,5,sea,40,14,4,1,2,4,9,0,3,15,0,0,2,0,0,,RC,,
250621,John Denver,2,,,,,1,land,29,5,7,0,21,3,7,0,13,20,1,0,1,0,0,,RC,,
250621,John Denver,2,,,,,2,sea,10,12,2,0,3,1,11,0,12,50,1,1,1,0,0,,RC,,
250621,John Denver,2,,,,,3,land,26,4,1,0,25,9,25,0,0,3,1,0,1,0,0,,RC,,
250621,John Denver,2,,,,,4,sea,13,5,1,23,7,22,0,0,24,2,2,1,0,0,,,RC,,
250621,John Denver,2,,,,,5,land,30,3,0,0,12,25,25,0,0,10,0,0,0,1,0,,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,1,sea,18,15,8,0,8,0,18,0,0,20,1,3,3,1,0,RC,RC,,sponge
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,2,land,28,1,1,0,3,0,14,0,0,50,1,1,0,0,0,RC,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,3,land,14,13,2,0,1,0,2,0,0,40,2,1,11,1,0,RC,RC,,sponge
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,4,sea,10,7,1,1,42,1,10,0,0,20,8,0,5,0,0,RC,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,5,land,16,6,1,0,6,1,0,19,0,50,9,0,6,0,0,RC,RC,,feather boa kelp
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,1,land,18,5,3,0,4,1,1,3,0,5,57,3,5,0,0,SG,RC,,feather boa kelp
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,2,land,11,2,10,0,2,0,1,3,0,54,12,0,9,0,0,SG,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,3,sea,25,13,21,0,1,0,1,15,0,12,20,0,10,0,0,SG,RC,,feather boa kelp
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,4,land,8,15,20,0,3,0,1,10,0,10,23,1,10,0,0,SG,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,5,sea,2,15,34,0,1,0,0,19,0,20,15,2,10,1,0,SG,RC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,1,sea,27,5,4,0,1,0,1,0,1,50,1,0,16,0,0,MS + SG,PC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,2,sea,24,12,12,0,8,1,8,3,0,33,2,3,5,0,1,MS + SG,PC,,"feather boa kelp, ribbed drift kelp"
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,3,sea,42,4,5,0,26,0,3,0,0,18,6,0,9,0,0,MS + SG,PC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,4,sea,17,3,31,0,1,0,39,0,8,10,0,2,1,1,0,MS + SG,PC,,sponge
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,5,sea,14,8,9,0,0,0,47,30,20,2,0,0,0,0,0,MS + SG,PC,,feather boa kelp
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,1,land,35,4,1,0,7,2,32,0,0,13,2,8,0,0,0,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,2,sea,28,1,0,0,17,23,26,0,0,2,2,0,0,0,0,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,3,land,4,4,0,0,0,0,22,0,80,1,0,1,0,1,0,SG,PC,,sponge
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,4,land,5,10,7,0,1,0,22,0,47,5,0,1,0,2,0,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,5,sea,13,5,11,0,16,3,27,1,1,10,1,0,3,1,0,SG,PC,,"feather boa kelp, tunicate "
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,1,sea,10,10,5,0,3,0,25,0,0,25,1,8,10,10,0,RC+SG,MS,,tube worm
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,2,land,23,11,2,1,2,0,8,0,0,33,1,15,1,1,0,RC+SG,MS,,tube worm
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,3,sea,6,1,0,0,20,0,0,0,0,61,5,4,6,0,0,RC+SG,MS,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,4,sea,16,5,1,0,11,0,4,0,0,12,2,3,42,0,0,RC+SG,MS,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,5,land,5,3,0,0,13,0,18,0,0,5,2,2,48,0,0,RC+SG,MS,,tubewarm
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,1,land,12,2,11,0,10,0,16,0,0,25,15,0,8,1,0,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,2,sea,20,3,5,1,20,0,29,0,0,10,4,0,2,0,0,MS + SG,MS,,Egg/tube
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,3,land,27,2,1,0,9,0,36,15,0,21,1,1,1,1,0,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,4,land,35,0,0,1,8,0,31,0,0,18,1,0,0,0,0,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,5,sea,8,0,0,0,5,0,24,0,0,59,0,0,0,0,0,MS + SG,MS,,tube
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,1,land,33,0,1,0,4,0,12,0,0,48,1,5,0,1,0,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,2,land,20,0,1,0,20,2,13,0,0,28,9,2,1,0,0,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,3,land,3,0,0,0,18,1,24,0,0,23,5,5,25,0,0,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,4,land,10,2,5,0,1,0,9,0,0,64,3,0,1,0,0,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,5,sea,35,6,3,0,0,0,14,0,0,34,0,5,4,1,0,MS + SG,MS,,tube
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,1,sea,28,10,4,0,3,0,25,0,0,23,1,1,5,0,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,2,land,5,1,3,0,0,10,0,0,0,60,9,10,1,6,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,3,land,14,5,1,0,2,1,24,0,0,40,1,2,7,1,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,4,land,23,1,0,0,5,0,45,0,0,18,2,4,6,1,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,5,no data,15,3,2,0,5,0,36,0,0,23,4,2,14,0,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,1,land,29,3,2,0,12,0,5,0,0,30,10,8,6,1,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,2,sea,30,1,1,0,3,0,35,0,0,20,0,5,0,1,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,3,land,38,0,0,0,5,0,34,0,0,22,0,8,0,0,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,4,sea,10,0,0,0,0,0,1,0,0,52,3,1,1,0,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,5,land,0,0,0,0,0,0,14,0,0,60,7,8,6,0,0,MS + SG,MS,,
