Date,Site,Transect,Lat_Start,Long_Start,Lat_End,Long_End,Quad,Side,Rock,Boulder,Cobble,Sand,Investigators,Entered By,Checked By,Notes
250624,John Denver,1,36.5439,-121.93401,,,1,land,50,30,10,10,,RC,,
250624,John Denver,1,36.5439,-121.93401,,,2,land,45,35,15,5,,RC,,
250624,John Denver,1,36.5439,-121.93401,,,3,land,100,0,0,0,,RC,,
250624,John Denver,1,36.5439,-121.93401,,,4,sea,100,0,0,0,,RC,,
250624,John Denver,1,36.5439,-121.93401,,,5,sea,100,0,0,0,,RC,,
250624,John Denver,2,36.63757,-121.93008,36.63767,-121.93022,1,land,0,80,20,0,,RC,,
250624,John Denver,2,36.63757,-121.93008,36.63767,-121.93022,2,sea,5,0,90,5,,RC,,
250624,John Denver,2,36.63757,-121.93008,36.63767,-121.93022,3,land,100,0,0,0,,RC,,
250624,John Denver,2,36.63757,-121.93008,36.63767,-121.93022,4,sea,90,0,0,10,,RC,,
250624,John Denver,2,36.63757,-121.93008,36.63767,-121.93022,5,land,100,0,0,0,,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,1,sea,45,45,0,10,RC,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,2,land,10,85,0,5,RC,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,3,land,20,75,0,5,RC,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,4,sea,47,40,0,13,RC,RC,,
250625,John Denver,3,36.63768,-121.93024,36.63781,-121.93632,5,land,55,40,2,3,RC,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,1,land,100,0,0,0,SG,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,2,land,100,0,0,0,SG,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,3,sea,100,0,0,0,SG,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,4,land,100,0,0,0,SG,RC,,
250626,John Denver,4,36.63782,-121.93024,36.63793,-121.93034,5,sea,100,0,0,0,SG,RC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,1,sea,40,60,0,0,MS + SG,PC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,2,sea,10,80,5,5,MS + SG,PC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,3,sea,5,90,5,0,MS + SG,PC,,
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,4,sea,0,90,5,5,MS + SG,PC,,
