Site,Date,Transect,Lat (Start),Long (Start),Lat (End),Long (End),Quad No,Side,Rock,Boulder,Cobble,Sand,Investigators,Entered By,Checked By,Notes
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,82,4,0,4,"DP, EC",DP,KR,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,40,20,2,20,"DP, EC",DP,KR,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,50.5,0,4,5,"DP, EC",DP,KR,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,82,16,0,0,"DP, EC",DP,KR,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,0,95,0,5,"DP, EC",DP,KR,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,NA,NA,NA,NA,"IH, PS",DP,KR,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,NA,NA,NA,NA,"IH, PS",DP,KR,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,NA,NA,NA,NA,"IH, PS",DP,KR,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,NA,NA,NA,NA,"IH, PS",DP,KR,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,NA,NA,NA,NA,"IH, PS",DP,KR,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,90,10,0,0,IH,DP,KR,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,0,80,20,0,IH,DP,KR,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,3,Sea,100,0,0,0,IH,DP,KR,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,4,Land,75,25,0,0,IH,DP,KR,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,5,Land,0,9,0,10,IH,DP,KR,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,1,Land,100,0,0,0,"IH, DP, EC",DP,KR,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,2,Sea,50,50,0,0,"IH, DP, EC",DP,KR,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,3,Land,100,0,0,0,"IH, DP, EC",DP,KR,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,4,Sea,100,0,0,0,"IH, DP, EC",DP,KR,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,5,Land,100,0,0,0,"IH, DP, EC",DP,KR,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,1,NA,NA,NA,NA,NA,IH,DP,KR,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,2,NA,NA,NA,NA,NA,IH,DP,KR,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,3,NA,NA,NA,NA,NA,IH,DP,KR,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,4,NA,NA,NA,NA,NA,IH,DP,KR,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,5,NA,NA,NA,NA,NA,IH,DP,KR,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,1,Land,0,100,0,0,"PS, IH",DP,KR,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,2,Sea,0,100,0,0,"PS, IH",DP,KR,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,3,Land,0,100,0,0,"PS, IH",DP,KR,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,4,Sea,0,100,0,0,"PS, IH",DP,KR,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,5,Sea,100,0,0,0,"PS, IH",DP,KR,
Sea Palm,20210625,2,36.62804,121.92047,63.62801,121.92026,1,NA,NA,NA,NA,NA,"EV, EC, PS",DP,KR,
Sea Palm,20210625,2,36.62804,121.92047,63.62801,121.92026,2,NA,NA,NA,NA,NA,"EV, EC, PS",DP,KR,
Sea Palm,20210625,2,36.62804,121.92047,63.62801,121.92026,3,NA,NA,NA,NA,NA,"EV, EC, PS",DP,KR,
Sea Palm,20210625,2,36.62804,121.92047,63.62801,121.92026,4,NA,NA,NA,NA,NA,"EV, EC, PS",DP,KR,
Sea Palm,20210625,2,36.62804,121.92047,63.62801,121.92026,5,NA,NA,NA,NA,NA,"EV, EC, PS",DP,KR,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,1,NA,NA,NA,NA,NA,"KR, ADT, LD",DP,KR,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,2,NA,NA,NA,NA,NA,"KR, ADT, LD",DP,KR,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,3,NA,NA,NA,NA,NA,"KR, ADT, LD",DP,KR,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,4,NA,NA,NA,NA,NA,"KR, ADT, LD",DP,KR,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,5,NA,NA,NA,NA,NA,"KR, ADT, LD",DP,KR,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,1,Sea,0,100,0,0,"KR, EV",DP,KR,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,2,Land,0,100,0,0,"KR, EV",DP,KR,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,3,Sea,0,95,0,5,"KR, EV",DP,KR,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,4,Land,0,98,0,2,"KR, EV",DP,KR,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,5,Sea,0,98,0,2,"KR, EV",DP,KR,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,1,Sea,90,10,0,0,"DP, EC, ADT",DP,KR,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,2,Land,0,85,0,15,"DP, EC, ADT",DP,KR,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,3,Sea,100,0,0,0,"DP, EC, ADT",DP,KR,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,4,Land,0,80,20,0,"DP, EC, ADT",DP,KR,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,5,Sea,0,83,15,2,"DP, EC, ADT",DP,KR,
