"","Site","Date","Season","Transect","Quadrat","drift_quad_winter","drift_quad_spring","Latitude","Longitude","Side","Cr_NC","Cr_Cor","Cr_AC","Filament","Corticated","Foliose","Leathery","Kelp","Kelp_species","SG","BR","Mussel","Anemone","Barnacle","Other","Other.spp.","Drift_Kelp","Drift.Kelp.Spp.","Rock","Boulder","Cobble","Sand","density","Urchin_.0.5","Urchin_.1","Urchin_1","Urchin_2","Urchin_3","Urchin_4","Urchin_5","Urchin_.6","Urchins_measured","Notes","total","fleshy","coralline","crust","invert","non_food","big_urchins"
"4","Hopkins",2022-07-11,"Summer","CQ","1",2,2,36.621312,-121.903145,NA,41.9354838709677,12.9032258064516,2.1505376344086,0,2.1505376344086,0,2.1505376344086,0,"",7.52688172043011,25.8064516129032,0,3.2258064516129,2.1505376344086,0,"",NA,"",70,30,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",93,4.3010752688172,15.0537634408602,56.989247311828,5.37634408602151,31.1827956989247,NA
"5","Hopkins",2022-07-11,"Summer","CQ","2",2,2,36.621445,-121.903365,NA,35,3,0,0,43,0,0,0,"",0,6,7,4,2,0,"",NA,"",100,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,43,3,38,13,19,NA
"6","Hopkins",2022-07-11,"Summer","CQ","3",2,2,36.621482,-121.903338,NA,45.3846153846154,9.23076923076923,2.30769230769231,0,5.38461538461539,9.23076923076923,5.38461538461539,0,"",0,18.4615384615385,1.53846153846154,2.30769230769231,0.769230769230769,0,"",NA,"",90,0,10,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",130,20,11.5384615384615,56.9230769230769,4.61538461538462,23.0769230769231,NA
"7","Hopkins",2022-07-11,"Summer","CQ","4",2,2,36.621357,-121.903178,NA,43.75,5.20833333333333,1.04166666666667,0,8.33333333333333,0,2.08333333333333,0,"",0,35.4166666666667,1.04166666666667,3.125,0,0,"",NA,"",100,0,0,0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",96,10.4166666666667,6.25,50,4.16666666666667,39.5833333333333,NA
"8","China Rock",2022-07-12,"Summer","6-1","3",NA,NA,36.60545,-121.96027,NA,5.6,14.4,2.4,0.8,0.8,44,24.8,0,"",0,3.2,0,3.2,0.8,0,"",NA,"",100,0,0,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",125,69.6,16.8,22.4,4,7.2,NA
"9","China Rock",2022-07-12,"Summer","6-4","4",NA,NA,36.60534,-121.96022,NA,22.5,6.66666666666667,0,0,2.5,33.3333333333333,17.5,0,"",0,17.5,0,0,0,0,"",NA,"",0,60,40,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",120,53.3333333333333,6.66666666666667,29.1666666666667,0,17.5,NA
"10","China Rock",2022-07-12,"Summer","CQ","1",NA,NA,36.6056,-121.96014,NA,17.910447761194,5.97014925373134,2.98507462686567,2.23880597014925,2.23880597014925,10.4477611940298,20.8955223880597,4.47761194029851,"",0,14.1791044776119,12.6865671641791,0.746268656716418,5.22388059701492,0,"",NA,"",100,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",134,38.0597014925373,8.95522388059701,26.865671641791,18.6567164179104,32.8358208955224,NA
"11","China Rock",2022-07-12,"Summer","CQ","2",NA,NA,36.60535,-121.96004,NA,15.2380952380952,0.952380952380952,0,0,5.71428571428571,0,28.5714285714286,0,"",0,28.5714285714286,0,3.80952380952381,17.1428571428571,0,"",NA,"",80,0,20,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",105,34.2857142857143,0.952380952380952,16.1904761904762,20.952380952381,49.5238095238095,NA
"12","Pescadero Pt.",2022-07-13,"Summer","2","4",1,2,36.56108,-121.95425,NA,0.840336134453782,27.7310924369748,23.5294117647059,0,0,0.840336134453782,0,0,"",0,36.9747899159664,0,10.0840336134454,0,0,"",NA,"",95,0,0,5,160,0,3,44,98,52,9,1,0,207,"",119,0.840336134453782,51.2605042016807,52.1008403361345,10.0840336134454,47.0588235294118,0.0483091787439614
"13","Pescadero Pt.",2022-07-13,"Summer","CQ","1",NA,1,36.56122,-121.95437,NA,3.92156862745098,14.7058823529412,0.980392156862745,0,0,0,0,0,"",0,80.3921568627451,0,0,0,0,"",NA,"",100,0,0,0,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",102,0,15.6862745098039,19.6078431372549,0,80.3921568627451,NA
