Site,Date,Transect,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,Cr.NC,Cr.Cor,AC,Fila.,Cort.,Foliose,Leath.,Kelp,SG,BR,Mussel,Anem.,Barn.,Other,Investigators,Entered.By,Checked.By,Notes
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,80,0,0.5,0,1,4.5,92,0,0.5,4,0.5,0,0,0,"DP, EC",DP,KR,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,90,0,0.5,0.5,3,1,17,0,0,28,0,1,0,0,"DP, EC",DP,,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,50,10,1,0,3,0,15,0,0.75,5,0,0,0,0.5,"DP, EC",DP,,SS
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,50,25,0.5,0,10,0,8,0,8,0,0,1,0,1,"DP, EC",DP,,BS
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,49,5,2,1,20,0,11,0,0,10,14,0,0,3,"DP, EC",DP,,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,9,2,0,0,3,0,11,0,0,50,21,0,10,0,"IH, PS",DP,,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,10,1,27,1,14,2,13,0,0,5,13,0,5,10,"IH, PS",DP,,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,8,2,6,0,13,0,42,0,0,7,20,1,0,0,"IH, PS",DP,,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,10,7,3,0,16,0,32,0,0,50,3,0,1,1,"IH, PS",DP,,
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,29,12,28,1,9,0,7,0,0,18,2,1,0,0,"IH, PS",DP,,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,36,4,0,1,4,45,22,0,0,5,1,1,0,0,IH,DP,,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,35,8,0,1,30,5,16,0,0,12,1,1,2,0,IH,DP,,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,3,Sea,38,12,0,0,1,1,15,0,22,8,0,0,1,0,IH,DP,,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,4,Land,30,3,0,1,2,42,10,0,0,7,0,1,1,0,IH,DP,,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,5,Land,31,3,0,0,7,4,27,0,0,18,0,1,1,0,IH,DP,,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,1,Land,0,1,1,0,0,0,0,2,0,1,93,1,0,2,"IH. DP, EC",DP,,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,2,Sea,16,19,12,0,12,0,72,0,0,6,2,0,1,7,"IH. DP, EC",DP,,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,3,Land,13,10,4,0,0,0,51,0,0,14,1,1,1,0,"IH. DP, EC",DP,,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,4,Sea,17,4,1,0,6,0,13,0,0,23,1,2,1,23,"IH. DP, EC",DP,,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89784,5,Land,6,0,0,1,4,0,53,0,0,21,6,0,5,0,"IH. DP, EC",DP,,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,1,NA,16,2,1,1,2,0,0,0,56,18,0,0,1,0,IH,DP,,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,2,NA,22,1,6,1,12,0,26,0,25,8,0,0,0,0,IH,DP,,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,3,NA,14,6,1,2,27,0,26,0,25,8,0,1,1,0,IH,DP,,"12-14m underwater, quadrat done at 11-12"
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,4,NA,3,1,1,1,1,5,5,0,93,2,0,0,0,0,IH,DP,,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,5,NA,41,1,3,0,17,1,19,0,1,12,0,0,0,0,IH,DP,,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,1,Land,20,5,1,0,13,38,14,16,0,11,2,2,1,0,"PS, IH",DP,,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,2,Sea,17,3,10,0,4,9,10,21,0,5,29,1,3,0,"PS, IH",DP,,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,3,Land,17,3,1,0,8,15,18,29,0,9,22,0,5,0,"PS, IH",DP,,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,4,Sea,7,2,0,0,6,4,51,0,0,27,0,1,5,0,"PS, IH",DP,,
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,5,Sea,12,1,0,0,2,39,34,0,0,3,0,4,0,0,"PS, IH",DP,,
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,1,NA,16,2,0,0,52,0,20,0,0,10,0.5,1,0,0,"EV, EC, PS",DP,,
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,2,NA,30,13,1,1,7,0,28,0,1,21,0,1,0,0,"EV, EC, PS",DP,,
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,3,NA,27,3,0,0,15,0,0,0,0,63,0,2,0,4,"EV, EC, PS",DP,,
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,4,NA,8,4,13,0,8,0,15,0,3,12,0,0,0,0,"EV, EC, PS",DP,,
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,5,NA,24,10,3,0,7,20,9,0,0,2,0,0.5,9,1,"EV, EC, PS",DP,,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,1,NA,1.3,0.5,0.5,0,0,0,20,0,2,74,0,0,0,0,"KR, ADT, LD",DP,,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,2,NA,64,0,0,2,18,0,4,0,1,5,0,3,0,0,"KR, ADT, LD",DP,,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,3,NA,11,3,0,2,11,0,4,0,6,65,0,0,0,3,"KR, ADT, LD",DP,,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,4,NA,32,0,0,0,19,0,2,0,3,48,0,7,0,11,"KR, ADT, LD",DP,,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,5,NA,12,0,0,0.5,32,0,2,0,1,54,0,0,0,7,"KR, ADT, LD",DP,,
