Site,Date,Transect,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,Mussel,Anem.,Barn.,Other,algae_type,perc_cover
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Cr.NC,80
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Cr.Cor,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,AC,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Fila.,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Cort.,1
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Foliose,4.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Leath.,92
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,SG,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,BR,4
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Cr.NC,90
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Cr.Cor,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,AC,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Fila.,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Cort.,3
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Foliose,1
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Leath.,17
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,SG,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,BR,28
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Cr.NC,50
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Cr.Cor,10
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,AC,1
