Site,Date,Transect.No,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,X..0.5.cm,X..1.cm,X1.cm,X2.cm,X3.cm,X4.cm,X5.cm,X6.cm,S_purpuratus,P_miniata,P_ochraceus,L_aequalis
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,1,Land,0,0,2,4,7,3,1,0,17,0,0,1
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,2,Sea,0,0,5,0,6,2,2,0,15,0,0,0
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,3,Land,0,0,0,1,6,18,25,2,52,0,0,2
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,4,Sea,0,1,17,42,58,41,17,0,176,0,0,1
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,5,Land,0,0,1,10,8,6,4,1,30,0,0,7
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,1,Land,0,4,7,9,24,20,7,0,71,0,0,1
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,2,Sea,10,115,99,221,160,40,4,1,650,1,0,2
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,3,Land,6,18,42,85,86,38,10,3,288,0,0,0
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,4,Sea,0,7,35,36,66,39,8,1,192,0,0,1
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,5,Land,0,18,67,129,115,21,1,0,351,1,0,0
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,1,Land,2,9,43,39,83,43,8,0,227,1,0,0
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,2,Sea,0,0,7,20,42,41,2,0,112,1,0,0
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,3,Sea,0,0,11,16,14,4,0,0,45,0,0,0
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,4,Land,1,6,11,36,83,89,7,1,234,5,0,0
