Site,Date,Transect,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,Mussel,Anem.,Barn.,Other,algae_type,perc_cover
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Crustose Non-Coralline,80
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Crustose Coralline,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Articualted Coralline,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Filamentous,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Corticated,1
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Foliose,4.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Leathery,92
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Seagrass,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0.5,0,0,0,Bare Rock,4
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Crustose Non-Coralline,90
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Crustose Coralline,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Articualted Coralline,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Filamentous,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Corticated,3
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Foliose,1
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Leathery,17
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Seagrass,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,1,0,0,Bare Rock,28
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Crustose Non-Coralline,50
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Crustose Coralline,10
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Articualted Coralline,1
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Filamentous,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Corticated,3
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Foliose,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Leathery,15
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Seagrass,0.75
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,0,0.5,Bare Rock,5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Crustose Non-Coralline,50
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Crustose Coralline,25
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Articualted Coralline,0.5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Filamentous,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Corticated,10
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Foliose,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Leathery,8
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Seagrass,8
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,0,1,0,1,Bare Rock,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Crustose Non-Coralline,49
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Crustose Coralline,5
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Articualted Coralline,2
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Filamentous,1
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Corticated,20
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Foliose,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Leathery,11
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Kelp,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Seagrass,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,14,0,0,3,Bare Rock,10
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Crustose Non-Coralline,9
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Crustose Coralline,2
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Articualted Coralline,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Filamentous,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Corticated,3
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Foliose,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Leathery,11
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Kelp,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Seagrass,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,21,0,10,0,Bare Rock,50
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Crustose Non-Coralline,10
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Crustose Coralline,1
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Articualted Coralline,27
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Filamentous,1
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Corticated,14
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Foliose,2
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Leathery,13
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Kelp,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Seagrass,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,13,0,5,10,Bare Rock,5
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Crustose Non-Coralline,8
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Crustose Coralline,2
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Articualted Coralline,6
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Filamentous,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Corticated,13
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Foliose,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Leathery,42
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Kelp,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Seagrass,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,20,1,0,0,Bare Rock,7
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Crustose Non-Coralline,10
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Crustose Coralline,7
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Articualted Coralline,3
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Filamentous,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Corticated,16
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Foliose,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Leathery,32
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Kelp,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Seagrass,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,3,0,1,1,Bare Rock,50
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Crustose Non-Coralline,29
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Crustose Coralline,12
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Articualted Coralline,28
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Filamentous,1
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Corticated,9
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Foliose,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Leathery,7
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Kelp,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Seagrass,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,2,1,0,0,Bare Rock,18
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Crustose Non-Coralline,36
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Crustose Coralline,4
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Articualted Coralline,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Filamentous,1
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Corticated,4
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Foliose,45
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Leathery,22
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Kelp,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Seagrass,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,1,1,0,0,Bare Rock,5
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Crustose Non-Coralline,35
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Crustose Coralline,8
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Articualted Coralline,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Filamentous,1
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Corticated,30
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Foliose,5
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Leathery,16
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Kelp,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Seagrass,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,1,1,2,0,Bare Rock,12
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,3,Sea,0,0,1,0,Crustose Non-Coralline,38
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,3,Sea,0,0,1,0,Crustose Coralline,12
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,3,Sea,0,0,1,0,Articualted Coralline,0
